# dt1_mean tres_mean dt1_std tres_std overall_std
8.299704343766735049e-01 3.744624687987862188e+00 4.481297716470195210e-03 4.071801837697071325e-02 9.355220424072193675e-01
8.296916719863857148e-01 3.752766826392961885e+00 4.254832492493631872e-03 2.930712571625937804e-02 9.343917308829507995e-01
8.280887301445537529e-01 3.757517092173458195e+00 3.839708197123908179e-03 2.504578653585574216e-02 1.028300128721711726e+00
8.282902952346242742e-01 3.759328876259185215e+00 3.293811766213457486e-03 1.894313353441441292e-02 9.582797564392921963e-01
8.277583373788419685e-01 3.758710568574058275e+00 2.643591256926158557e-03 1.652014710910768708e-02 9.500678153950952165e-01
8.278261363216635749e-01 3.756272821484238023e+00 2.324273929672740231e-03 1.306944960998304706e-02 9.169907451483003680e-01
8.278586522969585415e-01 3.756325818397174388e+00 1.597710676254726278e-03 9.155013530380914574e-03 7.915817604761647974e-01
8.279476741583815524e-01 3.758701165836999536e+00 1.485973389172125106e-03 1.003596801123110734e-02 8.363459784793036977e-01
8.280172373880018144e-01 3.755920688547811803e+00 1.450248818748063606e-03 9.788163346860409217e-03 8.462609964310692234e-01
8.283453548240435893e-01 3.753725318380914278e+00 1.328948913650706241e-03 9.903709825674889694e-03 8.617537359589818591e-01
8.284202881497533255e-01 3.752752043782933367e+00 9.250902260635209245e-04 6.927246773993742980e-03 7.970736934937671103e-01
8.286113737670365298e-01 3.752500940326563672e+00 7.443611919951639323e-04 4.912068162975491079e-03 7.905749238890409369e-01
8.287172665945853334e-01 3.752141882456428768e+00 6.451374986388618091e-04 4.569364122684914549e-03 7.519639482702912270e-01
8.286427957906006281e-01 3.751117305666054058e+00 5.975040483820855597e-04 4.900939129141300074e-03 7.627751509744492564e-01
8.287473478161810903e-01 3.750455104404932349e+00 4.242907136642520621e-04 4.297527953365348242e-03 7.482536817077577451e-01
8.289127250213983444e-01 3.750043270501021375e+00 5.039368189889679734e-04 5.135778113985893338e-03 8.322930397800830660e-01
8.288587224150265609e-01 3.750393314092746788e+00 3.544102480672499454e-04 3.799160070413447852e-03 7.512639611990874489e-01
8.289896337333189091e-01 3.750531251565969004e+00 3.701992935290322273e-04 3.801080694290670178e-03 8.146520787752744575e-01
8.290918298535776554e-01 3.751884321997009497e+00 4.011204151972602347e-04 3.772956995307955030e-03 9.290629172419020421e-01
8.291486782478213469e-01 3.752884816203645890e+00 3.794855202235124236e-04 4.684244984394397328e-03 9.731444753261181413e-01
8.291412274964055085e-01 3.753021931669416666e+00 1.918686508800747316e-04 3.903297024238893027e-03 8.684781944526702713e-01
8.291525897226763586e-01 3.754013132093180882e+00 1.739500523524777672e-04 3.990734590848346933e-03 8.783278325395720287e-01
8.291646859411331283e-01 3.753990609303717640e+00 1.231360042246784766e-04 2.821365713711589986e-03 7.923353263592891604e-01
8.291768808085260289e-01 3.754820880068606925e+00 9.072127114237909856e-05 3.116894340372914577e-03 8.204011325636990648e-01
8.291956940169833423e-01 3.754881331171434855e+00 6.896689310722442306e-05 1.975373385607378813e-03 8.243707224889575969e-01
8.292084193936862802e-01 3.755076378131811499e+00 5.685588249465875358e-05 1.310798272381524842e-03 8.068059703657085580e-01
8.291992154476240939e-01 3.754893092013498634e+00 4.414984143062171889e-05 1.131632392822643591e-03 7.612180542244262327e-01
8.291952003390521408e-01 3.754804389730322267e+00 3.686811047363276457e-05 9.293484967563239892e-04 7.012207382685544665e-01
8.291887098897019470e-01 3.754357296939931032e+00 4.822696628959417250e-05 1.221737314003317138e-03 8.227780556765329489e-01
8.291843738091094762e-01 3.754250356868288563e+00 4.070981704262394569e-05 1.149488731702301555e-03 7.744597749087871463e-01
8.291712945004042767e-01 3.754012816653671702e+00 4.489320568371438957e-05 1.278021571459769540e-03 8.217715399223954886e-01
8.291669689712533042e-01 3.753841914106876398e+00 3.643421937819558569e-05 1.060338182474122480e-03 7.766818023405958060e-01
8.291631688832769020e-01 3.753786459795424246e+00 2.830921289615191973e-05 1.050543171454142470e-03 7.212507322415468991e-01
8.291658182512674502e-01 3.753713771451164583e+00 1.295360618524157109e-05 7.616381502831600769e-04 7.176165906009730477e-01
8.291682217195734950e-01 3.753635181569232149e+00 7.005656481214365940e-06 6.032076158061621665e-04 7.603135652192647420e-01
8.291649996141300383e-01 3.753705877037277094e+00 5.870862151321739969e-06 4.492728956995834769e-04 8.755543900214419750e-01
8.291639748212787930e-01 3.753643183088418045e+00 3.136656115984805099e-06 3.406985455552532182e-04 8.935011847895972803e-01
